STATECODE,Classification,Description,HDv1
MO,SFD_ROOFEQUIP,Roof mounted photovoltaic array,839.52925
MO,SFD_ROOFEQUIP,Roof mounted impact resistant array,856.786321
MO,SFD_ROOFEQUIP,Roof mounted mechanically attached array,876.662865
MO,SFD_ROOFGEOM,Complex roof,545.820362
MO,SFD_ROOFGEOM,Flat roof no parapets,555.731908
MO,SFD_ROOFGEOM,Flat roof parapets,532.396322
MO,SFD_ROOFGEOM,Gable roof LE6:12,597.196554
MO,SFD_ROOFGEOM,Braced gable LE6:12,622.646834
MO,SFD_ROOFGEOM,Gable roof GT6:12,612.264813
MO,SFD_ROOFGEOM,Braced gable GT6:12,593.230523
MO,SFD_ROOFGEOM,Hip roof LE6:12,600.070476
MO,SFD_ROOFGEOM,Hip roof GT6:12,609.803487
MO,SFD_ROOFMAINT,Excellent condition,553.313049
MO,SFD_ROOFMAINT,No deterioration or defects,559.508829
MO,SFD_ROOFMAINT,Visible defects,579.943609
MO,SFD_ROOFMAINT,Significant signs of distress,540.549469
MO,SFD_ROOFSYS,Built up or single ply,892.752764
MO,SFD_ROOFSYS,Built up with gutters,876.109737
MO,SFD_ROOFSYS,Built up without gutters,925.520008
MO,SFD_ROOFSYS,Built up unknown gutters,897.639488
MO,SFD_ROOFSYS,High wind shingle,864.029986
MO,SFD_ROOFSYS,High wind shingle plus SWR,931.902299
MO,SFD_ROOFSYS,Normal shingle,917.283152
MO,SFD_ROOFSYS,Normal shingle plus SWR,849.088702
MO,SFD_ROOFSYS,Metal concealed fasteners,954.253613
MO,SFD_ROOFSYS,Metal exposed fasteners,819.747254
MO,SFD_ROOFSYS,Metal unknown fasteners,951.886414
MO,SFD_ROOFSYS,Wood shakes,861.015628
MO,SFD_ROOFSYS,Concrete roof,836.566647
MO,SFD_ROOFSYS,Hail class 1,932.022947
MO,SFD_ROOFSYS,Hail class 2,905.674821
MO,SFD_ROOFSYS,Hail class 3,879.458823
MO,SFD_ROOFSYS,Hail class 4,824.556485
MO,SFD_ROOFSYS,Rubber roof,873.794744
MO,SFD_ROOFSYS,Green roof,913.871667
MO,SFD_ROOFSYS,Bermuda style roof,869.526187
MO,SFD_ROOFSYS,Concrete tiles,865.504676
MO,SFD_ROOFSYS,Slate tile,870.171683
MO,SFD_ROOFSYS,Fabric membrane,888.566198
MO,SFD_ROOFSYS,Solar tile,868.427237
MO,SFD_TODMGPROVISION,Cosmetic damage Fully covered,686.863966
MO,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,738.096822
MO,SFD_TODMGPROVISION,Cosmetic damage Default,627.098581
MO,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,680.606281
MO,SFD_TODMGPROVISION,Cosmetic damage Excluded,735.345812
MO,SFD_TOFLASHING,Compliant with ES1,712.009626
MO,SFD_TOFLASHING,Not compliant with ES1,694.449394
MO,SFD_TREEDENSITY,High tree risk high shielding,844.183769
MO,SFD_TREEDENSITY,Some trees some shielding,917.728664
MO,SFD_TREEDENSITY,No trees no shielding,914.451455
MS,COM_Unknown,Unknown,310.004614
MS,COM_ARCHITECT,Attached screen,196.606565
MS,COM_ARCHITECT,Detached screen,227.204452
MS,COM_ARCHITECT,Fences,202.996791
MS,COM_ARCHITECT,None,195.216311
MS,COM_ARCHITECT,Skylights,200.53455
MS,COM_ARCHITECT,Skylights protection,209.67869
MS,COM_CLADRATE,10d high wind nail,171.388787
MS,COM_CLADRATE,6d any nail,183.358768
MS,COM_CLADRATE,8d high wind nail,180.361308
MS,COM_CLADRATE,8d minimum nail,171.499802
MS,COM_CLADRATE,Batten decking,199.754894
MS,COM_CLADRATE,Lumber and groove,200.25139
MS,COM_CLADSYS,Vinyl siding,330.440696
MS,COM_CLADSYS,EIFS,374.602625
MS,COM_CLADSYS,Wood,382.107598
MS,COM_CLADSYS,Metal sheathing,349.99076
MS,COM_CLADSYS,Impact rated glazing,356.064181
MS,COM_CLADSYS,Stucco,329.100869
MS,COM_CLADSYS,Brick veneer,362.471402
MS,COM_CLADSYS,Concrete block,337.018837
MS,COM_CONSTQUALI,Signs of distress,272.765239
MS,COM_CONSTQUALI,WH Roof existing,302.064874
MS,COM_CONSTQUALI,Wind Roof existing,290.756407
MS,COM_CONSTQUALI,Wind Gold existing,274.20156
MS,COM_CONSTQUALI,Wind Silver existing,294.419075
MS,COM_CONSTQUALI,WH Gold existing,270.386523
MS,COM_CONSTQUALI,WH Silver existing,271.202538
MS,COM_EXTORN,Extensive ornamentation,223.04165
MS,COM_EXTORN,Extensive ornamentation and LPS,235.360776
MS,COM_EXTORN,Large signs,222.840621
MS,COM_EXTORN,Large signs and LPS,233.228083
MS,COM_EXTORN,Lightning protection,226.802571
MS,COM_FOUNDSYS,Bolted,348.95594
MS,COM_FOUNDSYS,Engineered,350.446575
MS,COM_FOUNDSYS,Unbolted,303.768345
MS,COM_GARAGING,Attached garage,322.402205
MS,COM_GARAGING,Detached garage,305.407062
MS,COM_GARAGING,No garage,329.775629
MS,COM_MECHGROUND,Generally unprotected,137.729825
MS,COM_MECHGROUND,Generally protected,154.711868
MS,COM_RESISTOPEN,Pressure small missile rated,261.84043
MS,COM_RESISTOPEN,Pressure medium missile rated,280.079892
MS,COM_RESISTOPEN,All openings pressure small missile rated,253.600807
MS,COM_RESISTOPEN,All openings pressure medium missile rated,284.820529
MS,COM_RESISTOPEN,All openings pressure large missile rated,282.335846
MS,COM_ROOFAGE,0 to 5 years,425.281922
MS,COM_ROOFAGE,6 to 10 years,436.312227
MS,COM_ROOFAGE,11 years or more,444.36702
MS,COM_ROOFANCH,Clips,134.171271
MS,COM_ROOFANCH,Double wraps,138.60558
MS,COM_ROOFANCH,Single wraps,154.151092
MS,COM_ROOFANCH,Structural,134.51772
MS,COM_ROOFANCH,Toenailing no anchorage,161.863595
MS,COM_ROOFEQUIP,No equipment present,218.821337
MS,COM_ROOFEQUIP,Roof mounted photovoltaic array,234.372812
MS,COM_ROOFEQUIP,Roof mounted impact resistant array,209.752649
MS,COM_ROOFEQUIP,Roof mounted mechanically attached array,223.650799
MS,COM_ROOFGEOM,Complex roof,261.432917
MS,COM_ROOFGEOM,Flat roof no parapets,287.557842
MS,COM_ROOFGEOM,Flat roof parapets,258.073168
MS,COM_ROOFGEOM,Gable roof LE6:12,255.984282
MS,COM_ROOFGEOM,Braced gable LE6:12,287.61485
MS,COM_ROOFGEOM,Gable roof GT6:12,242.644387
MS,COM_ROOFGEOM,Braced gable GT6:12,284.523658
MS,COM_ROOFGEOM,Hip roof LE6:12,253.520799
MS,COM_ROOFGEOM,Hip roof GT6:12,246.091568
MS,COM_ROOFMAINT,Excellent condition,145.065597
MS,COM_ROOFMAINT,No deterioration or defects,149.806378
MS,COM_ROOFMAINT,Visible defects,169.727882
MS,COM_ROOFMAINT,Significant signs of distress,155.547941
MS,COM_ROOFSYS,Built up or single ply,308.325501
MS,COM_ROOFSYS,Built up with gutters,272.824257
MS,COM_ROOFSYS,Built up without gutters,297.460489
MS,COM_ROOFSYS,Built up unknown gutters,292.666054
MS,COM_ROOFSYS,High wind shingle,272.81227
MS,COM_ROOFSYS,High wind shingle plus SWR,256.745724
MS,COM_ROOFSYS,Normal shingle,277.222816
MS,COM_ROOFSYS,Normal shingle plus SWR,269.888453
MS,COM_ROOFSYS,Metal concealed fasteners,285.771441
MS,COM_ROOFSYS,Metal exposed fasteners,293.467104
MS,COM_ROOFSYS,Metal unknown fasteners,272.103111
MS,COM_ROOFSYS,Wood shakes,282.264773
MS,COM_ROOFSYS,Concrete roof,277.076925
MS,COM_ROOFSYS,Hail class 1,261.198441
MS,COM_ROOFSYS,Hail class 2,265.642269
MS,COM_ROOFSYS,Hail class 3,303.505719
MS,COM_ROOFSYS,Hail class 4,282.36179
MS,COM_ROOFSYS,Rubber roof,305.356094
MS,COM_ROOFSYS,Green roof,303.322695
MS,COM_ROOFSYS,Bermuda style roof,265.380936
MS,COM_ROOFSYS,Concrete tiles,296.66817
MS,COM_ROOFSYS,Slate tile,279.73755
MS,COM_ROOFSYS,Fabric membrane,288.753271
MS,COM_ROOFSYS,Solar tile,299.104014
MS,COM_TODMGPROVISION,Cosmetic damage Fully covered,368.338041
MS,COM_TODMGPROVISION,Cosmetic damage Mostly covered,377.765404
MS,COM_TODMGPROVISION,Cosmetic damage Default,333.098954
MS,COM_TODMGPROVISION,Cosmetic damage Rarely covered,312.492109
MS,COM_TODMGPROVISION,Cosmetic damage Excluded,325.555716
MS,COM_TOFLASHING,Compliant with ES1,326.493652
MS,COM_TOFLASHING,Not compliant with ES1,318.269641
MS,COM_TREEDENSITY,High tree risk high shielding,174.431903
MS,COM_TREEDENSITY,Some trees some shielding,178.637733
MS,COM_TREEDENSITY,No trees no shielding,210.115889
MS,SFD_Unknown,Unknown,485.049749
MS,SFD_ARCHITECT,Attached screen,493.161106
MS,SFD_ARCHITECT,Detached screen,517.68507
MS,SFD_ARCHITECT,Fences,500.83486
MS,SFD_ARCHITECT,None,566.797209
MS,SFD_ARCHITECT,Skylights,532.300869
MS,SFD_ARCHITECT,Skylights protection,584.502477
MS,SFD_CLADRATE,10d high wind nail,487.967587
MS,SFD_CLADRATE,6d any nail,449.540723
MS,SFD_CLADRATE,8d high wind nail,490.130745
MS,SFD_CLADRATE,8d minimum nail,514.40597
MS,SFD_CLADRATE,Batten decking,525.661591
MS,SFD_CLADRATE,Lumber and groove,460.810427
MS,SFD_CLADSYS,Vinyl siding,501.776975
MS,SFD_CLADSYS,EIFS,531.40079
MS,SFD_CLADSYS,Wood,500.239894
MS,SFD_CLADSYS,Metal sheathing,503.029203
MS,SFD_CLADSYS,Impact rated glazing,534.276507
MS,SFD_CLADSYS,Stucco,482.386325
MS,SFD_CLADSYS,Brick veneer,505.485633
MS,SFD_CLADSYS,Concrete block,480.504852
MS,SFD_CONSTQUALI,Signs of distress,493.102147
MS,SFD_CONSTQUALI,WH Roof existing,497.440484
MS,SFD_CONSTQUALI,Wind Roof existing,464.135695
MS,SFD_CONSTQUALI,Wind Gold existing,469.516252
MS,SFD_CONSTQUALI,Wind Silver existing,496.729073
MS,SFD_CONSTQUALI,WH Gold existing,477.594359
MS,SFD_CONSTQUALI,WH Silver existing,497.37178
MS,SFD_EXTORN,Extensive ornamentation,514.384035
MS,SFD_EXTORN,Extensive ornamentation and LPS,563.872936
MS,SFD_EXTORN,Large signs,539.417591
MS,SFD_EXTORN,Large signs and LPS,584.732676
MS,SFD_EXTORN,Lightning protection,587.453193
MS,SFD_FOUNDSYS,Bolted,525.478854
MS,SFD_FOUNDSYS,Engineered,542.056623
MS,SFD_FOUNDSYS,Unbolted,553.820287
MS,SFD_GARAGING,Attached garage,469.389406
MS,SFD_GARAGING,Detached garage,453.529299
MS,SFD_GARAGING,No garage,503.476551
MS,SFD_MECHGROUND,Generally unprotected,520.98366
MS,SFD_MECHGROUND,Generally protected,486.127714
MS,SFD_RESISTOPEN,Pressure small missile rated,570.570611
MS,SFD_RESISTOPEN,Pressure medium missile rated,523.819718
MS,SFD_RESISTOPEN,All openings pressure small missile rated,496.979502
MS,SFD_RESISTOPEN,All openings pressure medium missile rated,513.470997
MS,SFD_RESISTOPEN,All openings pressure large missile rated,492.283222
MS,SFD_ROOFAGE,0 to 5 years,303.780405
MS,SFD_ROOFAGE,6 to 10 years,256.770974
MS,SFD_ROOFAGE,11 years or more,302.799086
MS,SFD_ROOFANCH,Clips,308.582849
MS,SFD_ROOFANCH,Double wraps,305.853631
MS,SFD_ROOFANCH,Single wraps,302.553809
MS,SFD_ROOFANCH,Structural,303.121321
MS,SFD_ROOFANCH,Toenailing no anchorage,301.837637
MS,SFD_ROOFEQUIP,No equipment present,719.10957
MS,SFD_ROOFEQUIP,Roof mounted photovoltaic array,700.414621
MS,SFD_ROOFEQUIP,Roof mounted impact resistant array,600.476777
MS,SFD_ROOFEQUIP,Roof mounted mechanically attached array,659.817524
MS,SFD_ROOFGEOM,Complex roof,456.491913
MS,SFD_ROOFGEOM,Flat roof no parapets,425.828508
MS,SFD_ROOFGEOM,Flat roof parapets,426.304232
MS,SFD_ROOFGEOM,Gable roof LE6:12,493.51406
MS,SFD_ROOFGEOM,Braced gable LE6:12,504.840289
MS,SFD_ROOFGEOM,Gable roof GT6:12,453.83395
MS,SFD_ROOFGEOM,Braced gable GT6:12,450.656187
MS,SFD_ROOFGEOM,Hip roof LE6:12,458.027064
MS,SFD_ROOFGEOM,Hip roof GT6:12,456.682345
MS,SFD_ROOFMAINT,Excellent condition,492.613429
MS,SFD_ROOFMAINT,No deterioration or defects,449.375262
MS,SFD_ROOFMAINT,Visible defects,469.085101
MS,SFD_ROOFMAINT,Significant signs of distress,514.899412
MS,SFD_ROOFSYS,Built up or single ply,606.608412
MS,SFD_ROOFSYS,Built up with gutters,603.952324
MS,SFD_ROOFSYS,Built up without gutters,716.140323
MS,SFD_ROOFSYS,Built up unknown gutters,705.274241
MS,SFD_ROOFSYS,High wind shingle,679.113106
MS,SFD_ROOFSYS,High wind shingle plus SWR,624.430898
MS,SFD_ROOFSYS,Normal shingle,642.299173
MS,SFD_ROOFSYS,Normal shingle plus SWR,614.823597
MS,SFD_ROOFSYS,Metal concealed fasteners,653.241389
MS,SFD_ROOFSYS,Metal exposed fasteners,698.544383
MS,SFD_ROOFSYS,Metal unknown fasteners,716.602613
MS,SFD_ROOFSYS,Wood shakes,705.613989
MS,SFD_ROOFSYS,Concrete roof,722.706749
MS,SFD_ROOFSYS,Hail class 1,645.967943
MS,SFD_ROOFSYS,Hail class 2,602.273525
MS,SFD_ROOFSYS,Hail class 3,634.454932
MS,SFD_ROOFSYS,Hail class 4,728.521585
MS,SFD_ROOFSYS,Rubber roof,655.541205
MS,SFD_ROOFSYS,Green roof,727.904602
MS,SFD_ROOFSYS,Bermuda style roof,689.810047
MS,SFD_ROOFSYS,Concrete tiles,635.794285
MS,SFD_ROOFSYS,Slate tile,716.420006
MS,SFD_ROOFSYS,Fabric membrane,658.929909
MS,SFD_ROOFSYS,Solar tile,704.098146
MS,SFD_TODMGPROVISION,Cosmetic damage Fully covered,578.617038
MS,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,526.126283
MS,SFD_TODMGPROVISION,Cosmetic damage Default,490.840529
MS,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,558.70933
MS,SFD_TODMGPROVISION,Cosmetic damage Excluded,492.10853
MS,SFD_TOFLASHING,Compliant with ES1,532.142519
MS,SFD_TOFLASHING,Not compliant with ES1,523.746924
MS,SFD_TREEDENSITY,High tree risk high shielding,669.63845
MS,SFD_TREEDENSITY,Some trees some shielding,582.851272
MS,SFD_TREEDENSITY,No trees no shielding,556.605316
MT,COM_Unknown,Unknown,390.200452
MT,COM_ARCHITECT,Attached screen,281.996254
MT,COM_ARCHITECT,Detached screen,264.084265
MT,COM_ARCHITECT,Fences,242.024907
MT,COM_ARCHITECT,None,246.297477
MT,COM_ARCHITECT,Skylights,239.394047
MT,COM_ARCHITECT,Skylights protection,279.657164
MT,COM_CLADRATE,10d high wind nail,232.800914
MT,COM_CLADRATE,6d any nail,241.105191
MT,COM_CLADRATE,8d high wind nail,233.086316
MT,COM_CLADRATE,8d minimum nail,259.27704
MT,COM_CLADRATE,Batten decking,259.553148
MT,COM_CLADRATE,Lumber and groove,260.437033
MT,COM_CLADSYS,Vinyl siding,495.815137
MT,COM_CLADSYS,EIFS,453.478521
MT,COM_CLADSYS,Wood,449.543484
MT,COM_CLADSYS,Metal sheathing,447.171155
MT,COM_CLADSYS,Impact rated glazing,461.606516
MT,COM_CLADSYS,Stucco,419.838838
MT,COM_CLADSYS,Brick veneer,478.867272
MT,COM_CLADSYS,Concrete block,435.35423
MT,COM_CONSTQUALI,Signs of distress,394.238444
MT,COM_CONSTQUALI,WH Roof existing,330.367072
MT,COM_CONSTQUALI,Wind Roof existing,357.633338
MT,COM_CONSTQUALI,Wind Gold existing,371.882456
MT,COM_CONSTQUALI,Wind Silver existing,381.625681
MT,COM_CONSTQUALI,WH Gold existing,377.75595
MT,COM_CONSTQUALI,WH Silver existing,353.452513
MT,COM_EXTORN,Extensive ornamentation,277.883299
MT,COM_EXTORN,Extensive ornamentation and LPS,257.067605
MT,COM_EXTORN,Large signs,264.595727
MT,COM_EXTORN,Large signs and LPS,290.451073
MT,COM_EXTORN,Lightning protection,287.69837
MT,COM_FOUNDSYS,Bolted,409.099378
MT,COM_FOUNDSYS,Engineered,412.454518
MT,COM_FOUNDSYS,Unbolted,386.67207
MT,COM_GARAGING,Attached garage,410.481068
MT,COM_GARAGING,Detached garage,399.605735
MT,COM_GARAGING,No garage,378.857625
MT,COM_MECHGROUND,Generally unprotected,212.861681
MT,COM_MECHGROUND,Generally protected,190.833746
MT,COM_RESISTOPEN,Pressure small missile rated,331.375257
MT,COM_RESISTOPEN,Pressure medium missile rated,358.166432
MT,COM_RESISTOPEN,All openings pressure small missile rated,330.100722
MT,COM_RESISTOPEN,All openings pressure medium missile rated,339.022275
MT,COM_RESISTOPEN,All openings pressure large missile rated,312.493699
MT,COM_ROOFAGE,0 to 5 years,578.844859
MT,COM_ROOFAGE,6 to 10 years,565.156452
MT,COM_ROOFAGE,11 years or more,568.320914
MT,COM_ROOFANCH,Clips,170.619626
MT,COM_ROOFANCH,Double wraps,202.62477
MT,COM_ROOFANCH,Single wraps,183.901718
MT,COM_ROOFANCH,Structural,187.923368
MT,COM_ROOFANCH,Toenailing no anchorage,173.534035
MT,COM_ROOFEQUIP,No equipment present,250.963935
MT,COM_ROOFEQUIP,Roof mounted photovoltaic array,256.635722
MT,COM_ROOFEQUIP,Roof mounted impact resistant array,270.706671
MT,COM_ROOFEQUIP,Roof mounted mechanically attached array,242.409442
MT,COM_ROOFGEOM,Complex roof,319.75422
MT,COM_ROOFGEOM,Flat roof no parapets,334.187015
MT,COM_ROOFGEOM,Flat roof parapets,355.798432
MT,COM_ROOFGEOM,Gable roof LE6:12,342.07662
MT,COM_ROOFGEOM,Braced gable LE6:12,371.228105
MT,COM_ROOFGEOM,Gable roof GT6:12,386.39141
MT,COM_ROOFGEOM,Braced gable GT6:12,334.522091
MT,COM_ROOFGEOM,Hip roof LE6:12,387.901851
MT,COM_ROOFGEOM,Hip roof GT6:12,325.226196
MT,COM_ROOFMAINT,Excellent condition,191.088944
MT,COM_ROOFMAINT,No deterioration or defects,191.204374
MT,COM_ROOFMAINT,Visible defects,182.559669
MT,COM_ROOFMAINT,Significant signs of distress,189.266261
MT,COM_ROOFSYS,Built up or single ply,333.38832
MT,COM_ROOFSYS,Built up with gutters,359.028586
MT,COM_ROOFSYS,Built up without gutters,323.652716
MT,COM_ROOFSYS,Built up unknown gutters,313.481498
MT,COM_ROOFSYS,High wind shingle,359.695174
MT,COM_ROOFSYS,High wind shingle plus SWR,327.999557
MT,COM_ROOFSYS,Normal shingle,332.402452
MT,COM_ROOFSYS,Normal shingle plus SWR,368.340408
MT,COM_ROOFSYS,Metal concealed fasteners,310.058604
MT,COM_ROOFSYS,Metal exposed fasteners,339.490343
MT,COM_ROOFSYS,Metal unknown fasteners,317.820818
MT,COM_ROOFSYS,Wood shakes,344.343827
MT,COM_ROOFSYS,Concrete roof,376.829204
MT,COM_ROOFSYS,Hail class 1,355.213562
MT,COM_ROOFSYS,Hail class 2,370.518175
MT,COM_ROOFSYS,Hail class 3,360.228042
MT,COM_ROOFSYS,Hail class 4,344.445644
MT,COM_ROOFSYS,Rubber roof,370.655264
MT,COM_ROOFSYS,Green roof,343.766655
MT,COM_ROOFSYS,Bermuda style roof,363.35879
MT,COM_ROOFSYS,Concrete tiles,344.548142
MT,COM_ROOFSYS,Slate tile,315.466508
MT,COM_ROOFSYS,Fabric membrane,347.365532
MT,COM_ROOFSYS,Solar tile,334.346183
MT,COM_TODMGPROVISION,Cosmetic damage Fully covered,419.005043
MT,COM_TODMGPROVISION,Cosmetic damage Mostly covered,388.586098
MT,COM_TODMGPROVISION,Cosmetic damage Default,405.726464
MT,COM_TODMGPROVISION,Cosmetic damage Rarely covered,376.71392
MT,COM_TODMGPROVISION,Cosmetic damage Excluded,369.553355
MT,COM_TOFLASHING,Compliant with ES1,410.506006
MT,COM_TOFLASHING,Not compliant with ES1,403.578222
MT,COM_TREEDENSITY,High tree risk high shielding,220.271764
MT,COM_TREEDENSITY,Some trees some shielding,226.877074
MT,COM_TREEDENSITY,No trees no shielding,227.90399
MT,SFD_Unknown,Unknown,596.735346
MT,SFD_ARCHITECT,Attached screen,720.286595
MT,SFD_ARCHITECT,Detached screen,746.774491
MT,SFD_ARCHITECT,Fences,699.249729
MT,SFD_ARCHITECT,None,726.824568
MT,SFD_ARCHITECT,Skylights,743.470179
MT,SFD_ARCHITECT,Skylights protection,735.767798
MT,SFD_CLADRATE,10d high wind nail,588.004824
MT,SFD_CLADRATE,6d any nail,561.4696
MT,SFD_CLADRATE,8d high wind nail,605.768233
MT,SFD_CLADRATE,8d minimum nail,591.233868
MT,SFD_CLADRATE,Batten decking,606.2965
MT,SFD_CLADRATE,Lumber and groove,608.215527
MT,SFD_CLADSYS,Vinyl siding,539.438439
MT,SFD_CLADSYS,EIFS,565.319469
MT,SFD_CLADSYS,Wood,595.721257
MT,SFD_CLADSYS,Metal sheathing,643.652916
MT,SFD_CLADSYS,Impact rated glazing,570.517495
MT,SFD_CLADSYS,Stucco,573.298167
MT,SFD_CLADSYS,Brick veneer,655.41394
MT,SFD_CLADSYS,Concrete block,592.915268
MT,SFD_CONSTQUALI,Signs of distress,505.703456
MT,SFD_CONSTQUALI,WH Roof existing,602.36722
MT,SFD_CONSTQUALI,Wind Roof existing,551.471983
MT,SFD_CONSTQUALI,Wind Gold existing,592.566482
MT,SFD_CONSTQUALI,Wind Silver existing,591.296216
MT,SFD_CONSTQUALI,WH Gold existing,584.313288
MT,SFD_CONSTQUALI,WH Silver existing,565.97766
MT,SFD_EXTORN,Extensive ornamentation,648.953696
MT,SFD_EXTORN,Extensive ornamentation and LPS,611.913765
MT,SFD_EXTORN,Large signs,660.682782
MT,SFD_EXTORN,Large signs and LPS,692.874559
MT,SFD_EXTORN,Lightning protection,679.807045
MT,SFD_FOUNDSYS,Bolted,618.18486
MT,SFD_FOUNDSYS,Engineered,666.908996
MT,SFD_FOUNDSYS,Unbolted,582.070618
MT,SFD_GARAGING,Attached garage,569.997448
MT,SFD_GARAGING,Detached garage,585.679849
MT,SFD_GARAGING,No garage,514.723456
MT,SFD_MECHGROUND,Generally unprotected,696.613857
MT,SFD_MECHGROUND,Generally protected,624.184987
MT,SFD_RESISTOPEN,Pressure small missile rated,683.658044
MT,SFD_RESISTOPEN,Pressure medium missile rated,634.363126
MT,SFD_RESISTOPEN,All openings pressure small missile rated,683.841645
MT,SFD_RESISTOPEN,All openings pressure medium missile rated,608.379923
MT,SFD_RESISTOPEN,All openings pressure large missile rated,723.268936
MT,SFD_ROOFAGE,0 to 5 years,381.900587
MT,SFD_ROOFAGE,6 to 10 years,401.60861
MT,SFD_ROOFAGE,11 years or more,372.421961
MT,SFD_ROOFANCH,Clips,388.035883
MT,SFD_ROOFANCH,Double wraps,348.855306
MT,SFD_ROOFANCH,Single wraps,350.923763
MT,SFD_ROOFANCH,Structural,345.977779
MT,SFD_ROOFANCH,Toenailing no anchorage,392.612816
MT,SFD_ROOFEQUIP,No equipment present,742.034954
MT,SFD_ROOFEQUIP,Roof mounted photovoltaic array,853.620226
MT,SFD_ROOFEQUIP,Roof mounted impact resistant array,818.436745
MT,SFD_ROOFEQUIP,Roof mounted mechanically attached array,806.170495
MT,SFD_ROOFGEOM,Complex roof,507.778136
MT,SFD_ROOFGEOM,Flat roof no parapets,541.544199
MT,SFD_ROOFGEOM,Flat roof parapets,579.727367
MT,SFD_ROOFGEOM,Gable roof LE6:12,484.292372
MT,SFD_ROOFGEOM,Braced gable LE6:12,526.684939
MT,SFD_ROOFGEOM,Gable roof GT6:12,521.479185
MT,SFD_ROOFGEOM,Braced gable GT6:12,532.190189
MT,SFD_ROOFGEOM,Hip roof LE6:12,482.271167
MT,SFD_ROOFGEOM,Hip roof GT6:12,569.769438
MT,SFD_ROOFMAINT,Excellent condition,564.014626
MT,SFD_ROOFMAINT,No deterioration or defects,536.514183
MT,SFD_ROOFMAINT,Visible defects,618.041306
MT,SFD_ROOFMAINT,Significant signs of distress,592.413138
MT,SFD_ROOFSYS,Built up or single ply,802.695794
MT,SFD_ROOFSYS,Built up with gutters,873.760753
MT,SFD_ROOFSYS,Built up without gutters,792.7591
MT,SFD_ROOFSYS,Built up unknown gutters,804.943908
MT,SFD_ROOFSYS,High wind shingle,904.927253
MT,SFD_ROOFSYS,High wind shingle plus SWR,839.481244
MT,SFD_ROOFSYS,Normal shingle,915.573954
MT,SFD_ROOFSYS,Normal shingle plus SWR,885.903334
MT,SFD_ROOFSYS,Metal concealed fasteners,900.536821
MT,SFD_ROOFSYS,Metal exposed fasteners,852.195057
MT,SFD_ROOFSYS,Metal unknown fasteners,767.047615
MT,SFD_ROOFSYS,Wood shakes,842.606859
MT,SFD_ROOFSYS,Concrete roof,906.620391
MT,SFD_ROOFSYS,Hail class 1,760.804686
MT,SFD_ROOFSYS,Hail class 2,774.04544
MT,SFD_ROOFSYS,Hail class 3,861.677629
MT,SFD_ROOFSYS,Hail class 4,834.781552
MT,SFD_ROOFSYS,Rubber roof,921.913762
MT,SFD_ROOFSYS,Green roof,884.711535
MT,SFD_ROOFSYS,Bermuda style roof,885.618187
MT,SFD_ROOFSYS,Concrete tiles,825.377576
MT,SFD_ROOFSYS,Slate tile,923.068404
MT,SFD_ROOFSYS,Fabric membrane,829.560417
MT,SFD_ROOFSYS,Solar tile,918.07964
MT,SFD_TODMGPROVISION,Cosmetic damage Fully covered,650.984676
MT,SFD_TODMGPROVISION,Cosmetic damage Mostly covered,640.22111
MT,SFD_TODMGPROVISION,Cosmetic damage Default,660.604484
MT,SFD_TODMGPROVISION,Cosmetic damage Rarely covered,639.473702
MT,SFD_TODMGPROVISION,Cosmetic damage Excluded,558.445721
MT,SFD_TOFLASHING,Compliant with ES1,697.622588
MT,SFD_TOFLASHING,Not compliant with ES1,633.943519
MT,SFD_TREEDENSITY,High tree risk high shielding,770.390919
MT,SFD_TREEDENSITY,Some trees some shielding,821.680027
MT,SFD_TREEDENSITY,No trees no shielding,786.930775
NC,COM_Unknown,Unknown,418.968305
NC,COM_ARCHITECT,Attached screen,296.358868
NC,COM_ARCHITECT,Detached screen,272.127149
NC,COM_ARCHITECT,Fences,291.404336
NC,COM_ARCHITECT,None,263.20674
NC,COM_ARCHITECT,Skylights,312.163431
NC,COM_ARCHITECT,Skylights protection,271.663574
NC,COM_CLADRATE,10d high wind nail,252.518881
NC,COM_CLADRATE,6d any nail,253.143923
NC,COM_CLADRATE,8d high wind nail,242.880918
NC,COM_CLADRATE,8d minimum nail,239.822793
NC,COM_CLADRATE,Batten decking,266.40748
NC,COM_CLADRATE,Lumber and groove,251.042939
NC,COM_CLADSYS,Vinyl siding,483.454633
NC,COM_CLADSYS,EIFS,429.226609
NC,COM_CLADSYS,Wood,469.260349
NC,COM_CLADSYS,Metal sheathing,483.015449
NC,COM_CLADSYS,Impact rated glazing,455.040549
NC,COM_CLADSYS,Stucco,490.695895
NC,COM_CLADSYS,Brick veneer,508.952881
NC,COM_CLADSYS,Concrete block,461.564291
NC,COM_CONSTQUALI,Signs of distress,352.513993
NC,COM_CONSTQUALI,WH Roof existing,321.679619
NC,COM_CONSTQUALI,Wind Roof existing,341.446557
NC,COM_CONSTQUALI,Wind Gold existing,331.45837
NC,COM_CONSTQUALI,Wind Silver existing,345.108399
NC,COM_CONSTQUALI,WH Gold existing,348.822563
NC,COM_CONSTQUALI,WH Silver existing,329.024048
NC,COM_EXTORN,Extensive ornamentation,290.596155
